State,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8
DalKeyphrases,0.6667,0.6333,0.70,0.7333,0.7667,0.8333,0.8667,0.9,0.8333
DalDomain,0.5333,0.8620,0.8965,0.9310,0.8966,0.8276,0.7931,0.7931,0.7931
DalKeyphrasesFre,0.4667,0.6333,0.80,0.8667,0.8667,0.9,0.8333,0.8333,0.8
StanfordKeyphrases,0.4306,0.4734,0.5691,0.5798,0.5691,0.5585,0.5532,0.5532,0.5585
StanfordDomain,0.5,0.6061,0.6121,0.6485,0.6788,0.7091,0.6788,0.6667,0.6424
StanfordKeyphrasesFre,0.4893,0.3777,0.4894,0.5426,0.5266,0.5213,0.5319,0.5478,0.5426
